id,monthly_airbnb_revenue,yearly_airbnb_revenue,total_reservation_days
49077426,1283.5,15402,302
1.02637E+18,819,9828,117
28250448,585,7020,78
28518077,2093.75,25125,335
1.12351E+18,4.666666667,56,1
46065989,0,0,0
7.13137E+17,61.25,735,15
5.64683E+17,8400,100800,210
1.17305E+18,4375,52500,300
8.55628E+17,2745.166667,32942,182
1.21392E+18,1100,13200,132
1.23488E+18,0,0,0
9.94767E+17,1666,19992,204
53211837,139.5,1674,27
6.25102E+17,0,0,0
53666929,1820.833333,21850,115
6.08883E+17,0,0,0
52267290,80,960,20
1.0661E+18,1920,23040,96
41976399,366.6666667,4400,88
28165121,949.8333333,11398,139
1.06163E+18,8219.25,98631,281
1.19875E+18,333,3996,36
1.1059E+18,16920,203040,270
1.23474E+18,0,0,0
1.17757E+18,4789.5,57474,279
1.13295E+18,386.75,4641,119
6.9111E+17,1596.083333,19153,107
8.27846E+17,2.833333333,34,1
6.33939E+17,7745.833333,92950,338
47181609,775,9300,124
582372,5.75,69,1
5.99115E+17,18333.33333,220000,275
704838,847.0833333,10165,107
48440192,1312.5,15750,126
8.36909E+17,1237.25,14847,303
6.18391E+17,0,0,0
54164726,12.08333333,145,1
8281889,0,0,0
45139002,2047,24564,276
1.15532E+18,3061.916667,36743,181
1.22335E+18,1133.666667,13604,179
1.17401E+18,1979.166667,23750,95
1.04635E+18,2918.333333,35020,206
1.0966E+18,3,36,1
7.98083E+17,10.75,129,1
1.01311E+18,3854.166667,46250,185
9.96659E+17,1151.5,13818,98
53320872,0,0,0
1.17694E+18,258.75,3105,69
43931225,1196.833333,14362,334
29152320,2770,33240,277
1.22989E+18,1833.333333,22000,88
7.75423E+17,9,108,1
1.16483E+18,2295,27540,324
1.14083E+18,338.3333333,4060,20
50381056,0,0,0
8.93468E+17,12.5,150,1
6.29729E+17,179.1666667,2150,43
7.21846E+17,0,0,0
53773839,924.3333333,11092,118
1.01896E+18,2135,25620,140
53215556,800,9600,60
1.19818E+18,852.9166667,10235,89
1.11229E+18,0,0,0
